EmployeeID,Employee Name ,OfficeState,DeviceType,EligibleForPromotion,RepeatHire,Organization,Department,BaseSalaryUSD,VacationHoursBalance,EmployeeRating,CurrentPeriodHours,PriorPeriodHours,PerformanceRating,NumberOfPreviousJobs,DaysSinceVacation,StartMonth,StartWeek,EmployeeTenure,Still Employed
mw35577,Anjela Scriviner,PA,iPhone,yes,no,IT,System Administration,145100,9,3,165.7,109.9,8.7,1,128,Aug,W33,91,Yes
mx19583,Desdemona Dreger,NV,Galaxy,no,yes,IT,System Administration,199000,14,1,282.5,163.1,10,3,120,May,W20,94,Yes
mx53146,Greer Ibanez,MA,-,no,no,IT,System Administration,166250,23,0,164.9,267.8,16,2,135,Sep,W38,102,Yes
mx84956,Hetty Bruggen,IN,-,no,no,IT,System Administration,115100,20,1,195.6,238.1,10.6,2,139,Jul,W27,105,Yes
mx87676,Rey Giacomozzo,VT,-,no,yes,IT,System Administration,173750,19,3,222.7,219.1,10.5,6,105,Sep,W38,139,Yes
my18576,Celka Bandey,ND,-,no,no,IT,System Administration,186650,12,2,205.7,141.1,10.8,4,159,Nov,W46,100,Yes
my29762,Gary Dyhouse,KY,-,no,no,IT,System Administration,183250,16,1,105.4,193.4,13.5,3,142,Dec,W50,99,Yes
my30409,Libbie Kelner,CO,iPhone,no,no,IT,System Administration,169400,17,4,298.2,194.8,14.3,2,117,Oct,W40,90,Yes
mz10016,Hank Schaumaker,NE,-,no,no,IT,System Administration,178650,19,1,200.1,227.3,13.1,7,92,Apr,W17,95,Yes
mz81801,Gerrie Jakoub,OR,iPhone,yes,no,IT,System Administration,124550,21,1,199,246.4,4.1,4,80,Nov,W47,76,Yes
na80726,April Insworth,MO,-,no,no,IT,System Administration,156050,22,1,178.6,256.7,10.2,2,87,Mar,W13,120,Yes
nb21557,Sonnie Ramard,PA,iPhone,no,no,IT,System Administration,193950,22,3,142.6,263.7,10.7,5,95,Feb,W09,73,Yes
nb22022,Malachi Jelks,SD,Galaxy,no,yes,IT,System Administration,173650,16,1,139.4,188.8,9.2,7,130,Feb,W08,85,Yes
nb52880,Alexandra MacAne,ID,-,no,no,IT,System Administration,167600,21,2,192,242.3,11,5,131,Jul,W29,116,Yes
nb58675,Hinze Pollington,VT,Galaxy,no,no,IT,System Administration,117150,24,2,167,286.3,14.1,3,91,Oct,W41,89,Yes
nc21518,Deeyn Clell,FL,-,no,no,IT,System Administration,154550,17,2,206.6,198.6,9.3,3,163,Dec,W50,112,Yes
nc60533,Bernhard Trunby,ID,-,no,no,IT,System Administration,171800,17,2,291.8,195.7,13.3,5,117,Aug,W35,103,Yes
nd19438,Esme Pietrowski,ND,-,no,no,IT,System Administration,190900,19,2,269,225.9,12.5,8,135,Feb,W05,98,Yes
nd54706,Chick Monard,WV,Galaxy,yes,no,IT,System Administration,201100,17,2,209.5,197.5,9.5,10,83,Mar,W13,72,Yes
nf80130,Alberik Lord,CT,Galaxy,yes,no,IT,System Administration,197100,18,2,268.5,211.8,12.3,3,106,Apr,W14,59,Yes
nf84347,Trixy Kitlee,NH,-,yes,no,IT,System Administration,167950,7,2,120.8,80,15.6,12,101,Mar,W12,108,Yes
ng34612,Homerus Tubritt,RI,-,yes,no,IT,System Administration,110100,21,1,268,248.9,11.9,3,105,Feb,W08,109,Yes
ng44516,Jocelin Erie,RI,-,no,no,IT,System Administration,143300,25,1,194.7,298,9.8,5,132,Jun,W24,105,Yes
ng59644,Felicity Wenham,CO,-,no,no,IT,System Administration,173850,14,3,155,162.4,13.4,1,125,Dec,W50,112,Yes
ng73388,Erich Pettyfer,ND,Galaxy,no,yes,IT,System Administration,218300,20,3,143.6,230.1,9.1,10,119,Jun,W25,93,Yes
nh16949,Russ Pountney,MN,Galaxy,no,no,IT,System Administration,45900,15,1,247.2,179.3,10.2,8,111,Apr,W16,71,Yes
nh20674,Elisabeth Roubay,ID,-,yes,no,IT,System Administration,197550,18,3,273,211.9,5,5,133,Dec,W50,99,Yes
nh60291,Rozele Kynd,OR,-,no,no,IT,System Administration,135850,18,2,175.1,210.1,13.1,7,108,Jan,W05,147,Yes
nh63159,Pegeen Beany,TX,-,no,no,IT,System Administration,214200,14,0,209.2,170.2,5.7,5,120,Jul,W30,104,Yes
nh86147,Katy McMurraya,AL,Galaxy,no,no,IT,System Administration,176450,11,0,255.2,132.4,14.1,5,78,Aug,W34,91,Yes
nj25852,Dom Cryer,UT,iPhone,no,no,IT,System Administration,131350,18,1,229.8,216.2,13.7,3,106,Dec,W49,87,Yes
nk17720,Maurizia Temporal,NV,-,yes,no,IT,System Administration,163450,11,1,136.3,129.3,6.3,12,129,Jun,W25,117,Yes
nk26580,Gerry Falks,ID,iPhone,no,no,IT,System Administration,82600,13,0,261.6,155.6,12.4,5,100,Aug,W34,91,Yes
nk54995,Yehudit Hardwidge,CO,Galaxy,no,no,IT,System Administration,160500,18,4,220.1,217.4,8.2,7,79,Dec,W51,63,Yes
nk80848,Hermann Rechert,VT,iPhone,no,no,IT,System Administration,168050,12,4,244.4,136.7,13.2,5,141,Aug,W34,67,Yes
nl23271,Tammi Le febre,VA,-,yes,no,IT,System Administration,170150,21,3,207.2,244.4,11.6,4,103,Mar,W12,108,Yes
nn36945,Ramona Asher,NJ,-,no,no,IT,System Administration,203850,11,1,249.9,128.9,11.3,5,136,Jan,W05,110,Yes
nn65739,Stanwood Rentilll,NM,Galaxy,no,no,IT,System Administration,126400,22,2,149.5,259,12.7,6,109,Apr,W16,83,Yes
no58776,Willa Boutell,GA,Galaxy,no,no,IT,System Administration,144400,12,1,142.6,138.3,8.5,7,170,Jul,W28,80,Yes
no85698,Essie Bleakley,KS,Galaxy,no,no,IT,System Administration,203400,17,1,232.6,195.7,10.9,3,100,Dec,W49,87,Yes
np22149,Danica Toffalo,KY,-,no,yes,IT,System Administration,151050,18,1,236.7,215.6,10.5,5,125,Jun,W26,117,Yes
np51110,Kessiah Geikie,MA,Galaxy,yes,no,IT,System Administration,202300,18,2,233,209.6,10,5,99,Aug,W34,91,Yes
np82653,Moria Jansky,TX,-,no,no,IT,System Administration,117550,20,3,179.1,236,9.6,4,153,Apr,W14,120,Yes
np90973,Adda Butner,MD,Galaxy,no,no,IT,System Administration,166250,11,1,148.6,126.4,14.2,4,89,Jan,W02,74,Yes
nq52388,Kipper Balloch,NJ,-,no,no,IT,System Administration,180300,13,3,219.8,150.1,7.7,2,103,Jan,W02,99,Yes
nq79061,Libby Mallall,NH,-,no,no,IT,System Administration,131500,25,0,210.2,298,11.1,3,123,Jun,W23,106,Yes
nr32174,Craggie Kinchington,AK,iPhone,yes,no,IT,System Administration,127500,14,1,228.1,159.4,8.5,3,90,May,W20,94,Yes
nr33278,Sonny Cleminson,IL,-,no,no,IT,System Administration,163100,17,1,271.9,200.9,18.2,3,116,Jan,W05,98,Yes
nr47769,Sauncho Vigrass,ID,iPhone,no,no,IT,System Administration,200350,12,1,220.9,136.9,13.3,10,100,May,W20,82,Yes
ns40242,Revkah Wittman,MS,iPhone,yes,no,IT,System Administration,107350,18,1,192.5,209.6,10.6,2,117,Dec,W49,88,Yes
ns70949,Everard Barthelemy,NM,-,no,no,IT,System Administration,142400,12,1,138.4,139.1,13,1,119,Dec,W52,99,Yes
nt14688,Bendite Circuit,ND,Galaxy,yes,yes,IT,System Administration,201550,22,1,271.3,264.2,7.9,3,140,Aug,W33,79,Yes
nt22522,Aline Glancey,LA,-,no,no,IT,System Administration,151900,25,0,265.9,292.1,9.8,4,153,Apr,W17,119,Yes
nt34259,Reina Grzelewski,LA,iPhone,no,no,IT,System Administration,183750,19,2,192,222.2,3.1,1,148,May,W19,70,Yes
nt39922,Wildon Riseborough,DC,-,no,yes,IT,System Administration,193300,18,0,258.2,211.5,11.9,3,135,Mar,W10,109,Yes
nu68957,Delly Lampe,IN,-,no,no,IT,System Administration,155700,15,2,292.8,179.2,9.9,5,88,Jan,W03,135,Yes
nv64021,Adaline Firpo,TX,-,no,no,IT,System Administration,172900,11,1,190.5,128.7,11,4,112,Oct,W43,113,Yes
nv97854,Marcello Meaddowcroft,NJ,iPhone,no,no,IT,System Administration,112300,21,3,246.2,247.5,6.9,6,122,Dec,W50,75,Yes
nw58572,Fairfax Syred,NH,-,no,no,IT,System Administration,137950,16,2,240.6,192.4,10.1,3,101,Apr,W14,120,Yes
nx15318,Emmalynne Duckerin,ME,iPhone,no,no,IT,System Administration,179350,16,3,123,189,4.7,4,115,Aug,W35,79,Yes
nx59372,Sharleen Shapero,VA,-,no,no,IT,System Administration,140500,17,1,208.5,198.5,9.8,3,121,Dec,W51,124,Yes
ny34644,Frieda Oty,IN,iPhone,no,no,IT,System Administration,175700,24,3,158.5,281.1,11,5,98,Sep,W36,90,Yes
oa20236,Zachary Shingles,MT,-,no,no,IT,System Administration,161350,13,1,172.7,147.7,10.6,5,95,Jul,W28,105,Yes
ob73809,Cedric Kobieriecki,UT,-,no,no,IT,System Administration,98450,21,1,184.6,243.3,13.1,5,126,Dec,W52,111,Yes
ob85572,Karlee Chaundy,NC,-,no,no,IT,System Administration,161950,15,3,258.5,179.6,10.1,5,145,May,W20,119,Yes
oc30883,Shane Andretti,MN,-,no,yes,IT,System Administration,106400,18,0,129.3,206.4,8.3,8,134,Mar,W11,96,Yes
oc98825,Karalee Gaitung,KY,-,yes,no,IT,System Administration,98100,14,2,184.7,166.2,15.2,6,98,Oct,W43,101,Yes
oc99571,Gib Cummine,MT,Galaxy,yes,no,IT,System Administration,115500,20,1,210.6,233.2,9.4,4,93,Dec,W53,62,Yes
oe47551,Michele Lincke,PA,Galaxy,no,no,IT,System Administration,122750,22,1,185.4,264.6,9.9,3,120,Aug,W34,91,Yes
oe71308,Kristen Fiddler,AK,Galaxy,no,no,IT,System Administration,191350,17,0,175.5,199.2,14.6,2,142,May,W21,70,Yes
oe71485,Dania Fitchen,WV,Galaxy,no,no,IT,System Administration,233900,15,1,159,180.2,7.9,2,123,May,W22,70,Yes
oe99165,Gabbie Figgen,UT,-,no,no,IT,System Administration,134200,22,0,230,259.6,14,2,105,May,W20,106,Yes
of96549,Berti Blazy,WA,-,no,no,IT,System Administration,179950,23,0,203.3,271.7,7.4,7,92,Jan,W05,110,Yes
og68628,Katie Stede,UT,-,yes,no,IT,System Administration,186900,19,1,118.5,222.1,10,4,92,Jun,W26,105,Yes
og70271,Dot Clark,NM,iPhone,no,no,IT,System Administration,203850,21,1,168.6,251.8,10.9,10,114,Feb,W06,73,Yes
og76998,Horace Dearnley,IN,iPhone,no,no,IT,System Administration,199600,12,1,204.3,140.9,9.5,5,106,Nov,W45,89,Yes
og99101,Linnea Heinz,NJ,-,no,no,IT,System Administration,196250,19,3,157.8,223,9.7,2,93,Mar,W10,97,Yes
oh37360,Ruddie Thurbon,LA,-,no,no,IT,System Administration,186300,13,0,244.7,149.4,6.1,5,140,Apr,W17,95,Yes
oh71939,Zared Verey,MN,Galaxy,yes,no,IT,System Administration,225000,18,0,210.7,216.5,10.4,7,125,Mar,W11,84,Yes
oi42157,Sayre Colling,RI,-,no,no,IT,System Administration,213250,15,2,148.6,171.4,9.6,6,115,Dec,W49,112,Yes
oi87490,Bunni Trobey,CT,-,no,no,IT,System Administration,97750,12,3,224,137.8,7.3,4,98,Feb,W09,133,Yes
oj58100,Cristin Dooler,NE,-,yes,no,IT,System Administration,117550,7,0,163.7,80.6,8.3,8,94,Dec,W50,99,Yes
oj86204,Meredith Cosens,MI,-,no,no,IT,System Administration,175450,11,2,194.5,128,8.8,5,117,Oct,W43,126,Yes
ok32647,Marion Bruno,AL,-,no,no,IT,System Administration,137600,20,3,148.8,230.1,10.2,11,153,Aug,W35,103,Yes
ok38639,Mindy Bachmann,CT,iPhone,no,no,IT,System Administration,256450,14,1,72.2,167.1,10.5,6,133,Feb,W08,85,Yes
ok51162,Roddy Renish,OR,iPhone,no,no,IT,System Administration,144100,11,0,219.4,124,10,3,102,Jul,W27,80,Yes
ok55731,Poppy O'Boyle,TX,-,no,no,IT,System Administration,78900,14,1,148.7,159.6,8.8,5,102,Apr,W17,95,Yes
ok89947,Darcey Tollemache,IA,iPhone,no,no,IT,System Administration,135850,10,2,163,120.4,10.6,3,101,May,W22,94,Yes
om28383,Rosalynd Bage,FL,-,no,no,IT,System Administration,179100,20,3,253.6,238.7,9.2,5,88,Aug,W33,116,Yes
om65311,Salvador Jerzycowski,MT,iPhone,no,no,IT,System Administration,113800,14,1,193.5,166.4,15.4,3,125,Sep,W39,90,Yes
on19924,Janek McCahill,FL,-,no,no,IT,System Administration,132000,23,0,145.7,265.7,12.4,4,110,Mar,W10,97,Yes
on56003,Abigale Christescu,TN,-,no,no,IT,System Administration,152850,15,0,272.8,173.2,10.9,4,101,Jul,W28,129,Yes
on67232,Alair Giampietro,AZ,-,yes,no,IT,System Administration,114050,18,1,167.6,211.9,8.2,5,160,Jul,W30,104,Yes
on83188,Garrott Junkison,DE,-,no,no,IT,System Administration,158950,11,2,242.2,134.6,7.4,5,89,Nov,W45,137,Yes
on90109,Esma Ayliff,DC,Galaxy,no,no,IT,System Administration,122300,17,1,109.6,194.9,11.1,2,120,Nov,W46,64,Yes
on93730,Moreen Battelle,HI,-,yes,no,IT,System Administration,168200,14,0,208,165.6,10.1,9,115,Sep,W39,102,Yes
oo69502,Gilberta Patkin,NM,-,no,yes,IT,System Administration,156250,14,1,111,164.7,10.1,4,125,Jul,W27,117,Yes
oo91302,Lita Ware,CO,-,no,no,IT,System Administration,185150,18,0,228.7,214.7,11.3,7,110,Mar,W10,97,Yes
op12075,Thor Sporton,UT,-,no,no,IT,System Administration,53700,19,0,184,220.2,5.1,3,103,Dec,W51,111,Yes
op89685,Siouxie Ballentime,DC,-,no,no,IT,System Administration,179350,18,3,214.8,217,9.8,7,117,Apr,W16,95,Yes
oq15320,Flem Bridgewood,VT,-,yes,no,IT,System Administration,185900,10,2,192.7,115,9.4,5,76,Mar,W12,120,Yes
or88226,Minnie Stubbes,SC,-,no,no,IT,System Administration,136750,12,1,120.4,144.2,12.9,12,167,Nov,W45,113,Yes
or95770,Leticia Guinery,MS,-,yes,no,IT,System Administration,218600,19,1,204,224.3,12.6,4,137,Dec,W49,112,Yes
os39578,Vail Murrill,UT,-,no,no,IT,System Administration,230950,13,3,199.5,155.1,6.6,4,111,Aug,W32,116,Yes
ot55311,Torrie Collumbell,WY,Galaxy,no,no,IT,System Administration,175250,20,1,251.6,232.4,13.6,2,91,Aug,W35,79,Yes
ot59263,Birdie Mynett,VA,-,no,no,IT,System Administration,188850,13,1,227.4,153.1,12.9,4,140,May,W20,131,Yes
ot88648,Nils Mowat,RI,Galaxy,no,no,IT,System Administration,94350,19,1,202,219.8,4.4,14,99,Sep,W36,54,Yes
ov47560,Collin Kennaird,MS,-,no,no,IT,System Administration,194400,14,1,223.5,168.7,11.8,4,114,Jun,W22,106,Yes
ow69982,Seamus Di Biagi,VT,iPhone,no,no,IT,System Administration,209550,17,1,200.5,195.5,11.7,4,99,Jan,W02,50,Yes
ox25503,Reider Goede,MO,-,no,no,IT,System Administration,160650,10,0,248.1,118.5,17.1,6,114,Aug,W32,104,Yes
ox43276,Rosette Coggill,WI,-,no,no,IT,System Administration,113900,15,3,311.1,174.5,7.3,3,109,Apr,W14,108,Yes
ox83019,Win MacGowan,MO,-,no,no,IT,System Administration,38250,13,2,152.9,151.3,9.8,6,89,Dec,W50,112,Yes
oy14675,Anallese Megarrell,NY,-,no,no,IT,System Administration,186650,26,1,154.5,303.3,9.7,5,115,Jun,W27,129,Yes
oz66202,Fair Toomey,LA,iPhone,yes,no,IT,System Administration,180450,21,3,208.7,251.5,6.6,2,93,Jul,W28,80,Yes
oz78429,Gwenore Danson,DC,-,no,no,IT,System Administration,81700,21,1,229.7,246.8,9.7,4,149,May,W20,107,Yes
pa30223,Massimo Joyner,ND,-,no,no,IT,System Administration,185050,20,3,185.3,231.7,0,0,143,Feb,W06,122,Yes
pc99739,Stern Aspinell,RI,-,no,yes,IT,System Administration,53450,17,1,259,202.9,8.9,8,126,Aug,W32,116,Yes
pe70338,Lucius Gorbell,IL,-,no,no,IT,System Administration,160900,20,3,89.7,239.3,9.9,3,122,Aug,W33,103,Yes
pe75469,Ella Regnard,AZ,-,no,no,IT,System Administration,174400,20,0,79.7,240.6,14.4,12,92,Nov,W45,101,Yes
pe79203,Kath Brennenstuhl,MI,iPhone,no,no,IT,System Administration,173650,21,1,214.7,247.3,12,4,138,Jul,W28,68,Yes
pf19727,Almira Bielfeldt,NM,-,no,no,IT,System Administration,161750,26,1,214.6,301.3,8,3,111,Sep,W39,126,Yes
pf34304,Bald Windley,WV,iPhone,no,no,IT,System Administration,193650,14,1,217,161.8,8,5,112,Mar,W13,84,Yes
pf38667,Desirae Strooband,AL,-,no,no,IT,System Administration,87800,12,2,164.8,138.5,9,2,94,May,W21,106,Yes
pg11134,Gerhardt Garcia,KS,-,no,no,IT,System Administration,187850,14,2,233.1,160.7,6.8,4,128,Aug,W34,103,Yes
ph37400,Ettie Ambler,CT,-,no,no,IT,System Administration,107100,12,1,302.8,144.3,7.6,3,95,Dec,W53,99,Yes
ph47697,Bernadene Riatt,ND,iPhone,no,no,IT,System Administration,193300,21,1,61.4,248,7.8,6,130,May,W20,70,Yes
ph59226,Gardie Center,IL,-,yes,no,IT,System Administration,123100,18,4,255.4,206.2,11.6,2,126,Mar,W13,108,Yes
pi87175,Jessa Freddi,IN,-,no,no,IT,System Administration,160900,15,3,221.9,174.9,11.2,5,85,Nov,W48,161,Yes
pj16588,Lorin Worsham,VA,iPhone,no,no,IT,System Administration,118050,18,2,232.4,208.9,9.2,3,124,Jul,W29,68,Yes
pj34697,Frayda Rosbottom,MA,-,yes,no,IT,System Administration,137450,18,0,205.7,207.6,9.2,4,130,Jun,W24,118,Yes
pk22248,Emmalynne Gronowe,IA,Galaxy,no,no,IT,System Administration,118250,21,5,207.2,246,11.4,9,127,Dec,W49,75,Yes
pl35601,Maureene Stanwix,DE,Galaxy,no,no,IT,System Administration,150600,21,3,200.8,248.9,8.6,7,120,Dec,W51,75,Yes
pl44334,Andree Bigg,VA,iPhone,no,no,IT,System Administration,167450,16,0,211.9,190.4,16.1,8,83,Aug,W32,92,Yes
pl76085,Aguie Simons,RI,-,yes,no,IT,System Administration,124800,26,0,178.7,310,7.2,7,99,Jan,W04,110,Yes
pm23547,Meara Raikes,FL,-,no,no,IT,System Administration,194550,14,0,203.1,160.7,12.5,2,151,Jun,W23,106,Yes
pm62011,Melisandra Cumberledge,WV,-,no,no,IT,System Administration,141100,20,1,134.3,236.1,10.9,4,112,Jun,W27,105,Yes
pm86189,Granthem Gransden,KS,-,no,no,IT,System Administration,162500,14,1,243.6,163.9,14.1,3,117,Oct,W42,114,Yes
pm93847,Glyn Coxhead,MN,Galaxy,no,no,IT,System Administration,167700,22,1,210.5,264.5,9,6,121,May,W20,70,Yes
pn52970,Angela Labrom,IL,-,yes,no,IT,System Administration,188550,14,0,227.7,161.7,14,7,100,Mar,W12,108,Yes
pn83360,Derry Sloss,WY,-,no,no,IT,System Administration,119100,18,1,264.1,209.6,8,2,141,Dec,W49,136,Yes
po29631,Gaylord Gaveltone,NE,iPhone,no,no,IT,System Administration,129550,23,3,252.2,274.6,6.6,5,103,Oct,W43,77,Yes
pp11429,Kahlil Ledley,OH,-,no,no,IT,System Administration,192950,22,2,169.7,258.7,8.9,1,126,Oct,W42,126,Yes
pp24556,Avie Guppy,FL,iPhone,yes,no,IT,System Administration,100750,18,2,132.6,213.9,13.4,3,133,Oct,W42,89,Yes
pp33245,Starla Amsden,OR,iPhone,yes,no,IT,System Administration,109250,16,1,254.4,188.4,6.8,6,106,Oct,W41,89,Yes
pp60401,Sharl Cuffe,MD,-,no,no,IT,System Administration,162100,16,3,220.8,183.5,9.8,4,132,May,W19,107,Yes
pp76580,Althea Seel,KS,iPhone,no,no,IT,System Administration,98100,22,2,245.7,262.6,13.1,5,83,Jun,W23,94,Yes
pq40521,Marris Edwardes,VT,-,no,no,IT,System Administration,181050,16,0,136.2,188.8,13.5,3,119,Jan,W03,98,Yes
pq89648,Kat Kelley,VT,-,no,no,IT,System Administration,135000,18,1,198.1,211.8,10.3,3,120,Jan,W01,123,Yes
pr97626,Meghann Loughney,DC,-,no,no,IT,System Administration,105150,21,0,269.6,248.5,13.3,4,120,Jun,W27,141,Yes
ps46293,Lambert Mickleborough,NV,-,no,no,IT,System Administration,143300,15,0,243.3,175.6,10.9,7,122,Sep,W37,102,Yes
ps56334,Silvio Codi,LA,-,yes,no,IT,System Administration,131750,12,1,143.7,142.4,5.9,4,120,Oct,W42,101,Yes
ps69895,Loella Lurriman,CT,iPhone,no,no,IT,System Administration,124700,23,3,321.3,274,8.9,1,114,Aug,W32,67,Yes
pv22646,Olenolin Lanfere,NJ,-,no,no,IT,System Administration,101050,24,2,194.8,278.3,13.2,10,80,Apr,W17,132,Yes
pv99864,Valentijn Mattocks,SC,Galaxy,no,no,IT,System Administration,148350,18,4,164.7,213.7,10.3,5,129,Nov,W49,75,Yes
pw79464,Urbanus Buckhurst,WA,-,no,no,IT,System Administration,165000,15,2,302.8,176.6,7,7,125,Nov,W46,125,Yes
px12014,Linzy Chaney,WY,-,no,no,IT,System Administration,159650,21,0,208.8,248.6,10.6,5,101,Feb,W07,97,Yes
py36031,Wendall Stoeckle,VA,-,no,no,IT,System Administration,189700,18,1,214.7,216.5,12.4,2,129,Feb,W06,146,Yes
py38869,Garek Fesby,MT,-,yes,no,IT,System Administration,225500,13,1,259.3,147.6,12.9,1,110,Feb,W09,97,Yes
py95313,Bertie Tollmache,MD,-,no,no,IT,System Administration,232550,10,1,250.6,114.6,8.2,4,131,Mar,W13,96,Yes
pz11582,Antonin Ricard,MS,-,yes,no,IT,System Administration,121050,27,2,126.6,313.7,13.4,6,124,Feb,W09,109,Yes
qa14565,Glynis Comrie,MD,-,yes,yes,IT,System Administration,160550,14,4,197.7,160.9,11.5,5,117,Aug,W32,128,Yes
qa33018,Kennie Ruff,DC,-,yes,no,IT,System Administration,188350,11,1,200,130.2,11.3,3,138,Oct,W40,114,Yes
qa77010,Maxine Bremen,VT,Galaxy,no,no,IT,System Administration,161250,13,5,244,156.1,8.3,3,80,Aug,W33,79,Yes
qa99604,Alfredo Mcettrick,MS,-,yes,no,IT,System Administration,131250,19,0,208.5,221.4,10.3,5,157,Nov,W48,112,Yes
qb38000,Cyril Ledgeway,DC,-,yes,no,IT,System Administration,186300,18,1,192.4,206,15,5,124,Jun,W24,106,Yes
qb56607,Kristopher Drewell,NE,-,yes,no,IT,System Administration,218200,13,3,123,150.5,11.4,3,135,Oct,W42,101,Yes
qb73547,Annmarie Skittle,MO,-,no,no,IT,System Administration,161500,22,0,181.5,258.2,6.3,6,99,Nov,W45,113,Yes
qc31236,Drusy Simoni,GA,-,no,no,IT,System Administration,176800,17,0,76.4,198.9,8.6,6,91,Jul,W29,129,Yes
qe30765,Hamnet Twinning,WI,-,no,no,IT,System Administration,73950,16,0,205.8,193.6,11,5,79,Jun,W24,106,Yes
qe64968,Guillaume Critzen,AZ,-,no,no,IT,System Administration,89000,7,3,169.4,82.2,15.8,7,119,Aug,W34,115,Yes
qe84098,Sinclair Heeps,WA,-,no,no,IT,System Administration,126900,23,0,206.6,273.6,9.1,4,90,Apr,W16,107,Yes
qe95555,Johny Orts,NM,Galaxy,no,no,IT,System Administration,91800,21,3,252.1,241.9,10.4,3,167,May,W20,82,Yes
qf13610,Karole Worton,HI,-,yes,no,IT,System Administration,164150,9,1,227.4,111.6,12.1,4,113,Apr,W15,108,Yes
qf30356,Bridgette Bootherstone,WI,Galaxy,no,no,IT,System Administration,142650,21,0,155.1,247.9,11.9,4,96,Aug,W34,91,Yes
qg37207,Nananne Chastanet,MI,-,no,no,IT,System Administration,114500,25,2,195.5,295.3,6.6,5,113,Apr,W14,120,Yes
qh34506,Marcia Springer,AR,-,no,no,IT,System Administration,167450,17,1,206.4,202.6,9.1,10,143,Nov,W48,112,Yes
qi56392,Maure Aggio,DC,-,no,no,IT,System Administration,143300,14,1,95.3,168.6,12.3,4,109,Nov,W49,124,Yes
qi60791,Ritchie Burrill,NJ,iPhone,no,no,IT,System Administration,158100,20,1,148.1,237.4,12.2,6,120,May,W19,58,Yes
qj60267,Ahmad Trythall,OH,iPhone,yes,no,IT,System Administration,129450,23,7,266.9,267.5,11.3,5,117,Jun,W25,93,Yes
qk14702,Rory McPeice,FL,-,no,no,IT,System Administration,92800,13,2,240,153.1,9.8,5,95,Dec,W49,100,Yes
qm44040,Janka Lilburne,MI,-,no,no,IT,System Administration,115100,20,0,118.3,237.1,17.5,4,137,Jun,W23,106,Yes
qn32972,Valli Mocher,IN,-,no,no,IT,System Administration,183850,23,0,214,266.3,4.5,3,92,Dec,W50,99,Yes
qn90416,Raul Eggerton,NM,-,no,no,IT,System Administration,144400,18,1,206.1,209.4,11.5,2,136,Jan,W05,110,Yes
qo90547,Allard Cesaric,AL,-,no,no,IT,System Administration,189550,9,0,188.7,110.1,7.1,12,113,Nov,W47,125,Yes
qo95457,Calla McCray,SC,-,yes,no,IT,System Administration,130550,18,2,161.3,216.9,12.6,3,103,Mar,W13,96,Yes
qp24942,Ara Ozelton,MO,-,no,no,IT,System Administration,198900,21,2,173.1,249.5,9.1,5,129,Nov,W47,112,Yes
qq39315,Ailee Judson,IL,-,yes,no,IT,System Administration,196100,20,3,215.8,233.8,13.5,2,124,Jun,W24,106,Yes
qr29130,Lydia Sodory,RI,-,no,yes,IT,System Administration,108200,21,1,135,251.3,10.3,3,96,Dec,W49,112,Yes
qr33542,Maurizia McConigal,ND,-,no,no,IT,System Administration,174850,18,1,226.1,214.5,6.7,18,123,Sep,W37,127,Yes
qr92619,Mireielle Zold,NH,-,no,no,IT,System Administration,188100,13,1,192.5,157.8,11.3,6,104,Apr,W15,144,Yes
qs27628,Judas Stiegar,CO,-,no,no,IT,System Administration,169600,18,2,83.9,207.5,8.1,4,125,Jan,W02,111,Yes
qs54380,Reba McGinley,AZ,-,no,no,IT,System Administration,78200,22,1,214.1,253.6,10.3,10,92,Mar,W10,121,Yes
qt59811,Lisabeth Stonestreet,TN,-,no,no,IT,System Administration,127250,15,0,261.5,182.2,9.7,8,130,Jan,W02,123,Yes
qt80017,Shaine Poland,NJ,iPhone,no,no,IT,Database Administration,164750,17,1,182.7,195.3,8.5,3,136,Jun,W24,93,Yes
qu26242,Bidget Dyott,MO,-,no,no,IT,Database Administration,107200,23,1,184.4,274.7,9.8,4,141,Aug,W34,115,Yes
qu32669,Karil Magog,MN,iPhone,no,no,IT,Database Administration,168200,14,1,239.8,168.1,12,6,128,Dec,W50,87,Yes
qu89807,Svend Billingham,WY,Galaxy,no,no,IT,Database Administration,125050,17,0,160.7,199.7,13.7,7,115,Apr,W14,83,Yes
qv89395,Nikkie Shreeves,ID,-,no,no,IT,Database Administration,165050,16,3,192,193.8,9.3,7,110,Oct,W40,102,Yes
qv92659,Nikkie Pomroy,MI,-,yes,no,IT,Database Administration,182400,20,0,162.8,235.1,14.8,12,147,Jul,W28,105,Yes
qw43647,Karlens Fallen,VT,-,yes,no,IT,Database Administration,105400,17,1,205.1,202.9,12.3,3,96,Jun,W22,106,Yes
qx14654,Betta Fosken,NY,Galaxy,yes,no,IT,Database Administration,203600,17,0,167.8,203.8,9.9,6,120,Feb,W09,85,Yes
qx51209,Tedda Parradice,CO,Galaxy,yes,no,IT,Database Administration,99950,14,2,236.4,159.2,11.3,10,75,Feb,W08,85,Yes
qx94032,Laird Bathurst,ME,-,no,no,IT,Database Administration,180200,19,3,193.6,226.6,8.9,7,143,Jul,W29,117,Yes
qx94441,Jessie Perton,RI,-,no,no,IT,Database Administration,195000,18,4,289.6,214.1,10.4,6,114,Jan,W03,110,Yes
